id,op,site,class,rationale,diff
4,DROP,"otsenka.law:68 drop premise `detal_ts(d: d, v: v)`",binding,"every scenario holds one vehicle, one calculation and one report; a rule that pairs entities across cases has nothing to pair with","-when detal_ts(d: d, v: v);"
19,DROP,"otsenka.law:84 drop premise `detal_ts(d: d, v: v)`",binding,"every scenario holds one vehicle, one calculation and one report; a rule that pairs entities across cases has nothing to pair with","-when detal_ts(d: d, v: v);"
21,DROP,otsenka.law:85 drop premise `detal_podlezhit_zamene(d)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when detal_podlezhit_zamene(d);
32,DROP,otsenka.law:90 drop premise `detal_ne_povrezhdalas_i_ne_remontirovalas(d)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when detal_ne_povrezhdalas_i_ne_remontirovalas(d);
38,DROP,otsenka.law:107 drop premise `detal_otsenivaetsya_bez_iznosa(d)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when detal_otsenivaetsya_bez_iznosa(d);
57,DROP,"akt.law:72 drop premise `akt_fio_predstavivshego(a: a, fio: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_fio_predstavivshego(a: a, fio: _);"
59,DROP,"akt.law:73 drop premise `akt_iin_predstavivshego(a: a, iin: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_iin_predstavivshego(a: a, iin: _);"
61,DROP,"akt.law:74 drop premise `akt_udostoverenie_predstavivshego(a: a, nomer: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_udostoverenie_predstavivshego(a: a, nomer: _);"
71,DROP,"akt.law:97 drop premise `akt_marka(a: a, marka: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_marka(a: a, marka: _);"
73,DROP,"akt.law:98 drop premise `akt_model(a: a, model: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_model(a: a, model: _);"
75,DROP,"akt.law:99 drop premise `akt_gos_nomer(a: a, nomer: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_gos_nomer(a: a, nomer: _);"
77,DROP,"akt.law:100 drop premise `akt_god_vypuska(a: a, god: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_god_vypuska(a: a, god: _);"
79,DROP,"akt.law:101 drop premise `akt_probeg(a: a, probeg: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_probeg(a: a, probeg: _);"
81,DROP,"akt.law:102 drop premise `akt_dopolnitelnoe_oborudovanie(a: a, opisanie: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_dopolnitelnoe_oborudovanie(a: a, opisanie: _);"
83,DROP,"akt.law:103 drop premise `akt_snimok_identifikatsionnogo_nomera(a: a, fayl: `",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_snimok_identifikatsionnogo_nomera(a: a, fayl: _);"
87,DROP,"akt.law:110 drop premise `akt_povrezhdennye_detali(a: a, perechen: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_povrezhdennye_detali(a: a, perechen: _);"
89,DROP,"akt.law:111 drop premise `akt_fotografii_povrezhdeniy(a: a, fayly: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_fotografii_povrezhdeniy(a: a, fayly: _);"
93,DROP,"akt.law:120 drop premise `akt_data_provedeniya_osmotra(a: a, moment: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_data_provedeniya_osmotra(a: a, moment: _);"
95,DROP,"akt.law:121 drop premise `akt_data_sostavleniya(a: a, moment: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_data_sostavleniya(a: a, moment: _);"
97,DROP,"akt.law:122 drop premise `akt_sobstvennik(a: a, naimenovanie: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_sobstvennik(a: a, naimenovanie: _);"
99,DROP,akt.law:123 drop premise `akt_soderzhit_svedeniya_o_predstavivshem_lice(a)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when akt_soderzhit_svedeniya_o_predstavivshem_lice(a);
103,DROP,akt.law:125 drop premise `akt_soderzhit_svedeniya_o_povrezhdennykh_elementak`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when akt_soderzhit_svedeniya_o_povrezhdennykh_elementakh(a);
105,DROP,"akt.law:126 drop premise `akt_fio_osmotrevshego(a: a, fio: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_fio_osmotrevshego(a: a, fio: _);"
109,DROP,akt.law:134 drop premise `akt_soderzhit_svedeniya_prilozheniya_2(a)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when akt_soderzhit_svedeniya_prilozheniya_2(a);
110,DROP,"akt.law:135 drop premise `akt_vozmozhnye_defekty(a: a, opisanie: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when akt_vozmozhnye_defekty(a: a, opisanie: _);"
121,DROP,provedenie.law:65 drop premise `zayavlenie_soderzhit_svedeniya_prilozheniya_1(z)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when zayavlenie_soderzhit_svedeniya_prilozheniya_1(z);
